Unnamed: 0.1,Unnamed: 0,relation,song,song_url,episodes,rating,vocals,lyrics,composition,arrangement,chorus,tags,anime,MAL_ID,MAL_Title,MAL_Title_JP,MAL_Title_EN,MAL_Score,MAL_Rank,MAL_Popularity,MAL_Status,MAL_Genres,MAL_Num_Episodes,MAL_Start_Date,MAL_End_Date,MAL_Studios,MAL_Source,MAL_Broadcast,MAL_Rating,MAL_Duration,MAL_Themes,AniDB_Link,AniDB_ID,full_youtube_uri,youtube_views,youtube_likes,youtube_video_id
10,10,ending,Rain,/song/30159,63,8.69,Sid,Mao,Yuuya,"Nishihira Akira, Sid",,"action, adventure, contemporary fantasy, fantasy, human enhancement, magic, manga, military, science fiction, shounen, steampunk, violence",Hagane no Renkinjutsushi 2009,5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist Brotherhood,,9.1,2,3,finished_airing,"Action, Adventure, Drama, Fantasy, Military, Shounen",64,2009-04-05,2010-07-04,Bones,manga,,r,,,https://anidb.net/anime/6107,6107,https://www.youtube.com/watch?v=Bd9rnGXLNtM&pp=ygUkRnVsbG1ldGFsIEFsY2hlbWlzdCBCcm90aGVyaG9vZCBSYWlu,"525,939",6.2K,Bd9rnGXLNtM
11,11,ending,Hologram,/song/7570,64,7.59,Nico Touches the Walls,Mitsumura Tatsuya,Mitsumura Tatsuya,"Kameda Seiji, Nico Touches the Walls",,"action, adventure, contemporary fantasy, fantasy, human enhancement, magic, manga, military, science fiction, shounen, steampunk, violence",Hagane no Renkinjutsushi 2009,5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist Brotherhood,,9.1,2,3,finished_airing,"Action, Adventure, Drama, Fantasy, Military, Shounen",64,2009-04-05,2010-07-04,Bones,manga,,r,,,https://anidb.net/anime/6107,6107,https://www.youtube.com/watch?v=_JwYgd4zHvU&pp=ygUoRnVsbG1ldGFsIEFsY2hlbWlzdCBCcm90aGVyaG9vZCBIb2xvZ3JhbQ%3D%3D,"11,475,873",68K,_JwYgd4zHvU
12,12,insert song,Let it Out,/song/7102,27,8.31,Fukuhara Miho,Fukuhara Miho,"Fukuhara Miho, Yamaguchi Hiroo",Yasuhara Hyoue,,"action, adventure, contemporary fantasy, fantasy, human enhancement, magic, manga, military, science fiction, shounen, steampunk, violence",Hagane no Renkinjutsushi 2009,5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist Brotherhood,,9.1,2,3,finished_airing,"Action, Adventure, Drama, Fantasy, Military, Shounen",64,2009-04-05,2010-07-04,Bones,manga,,r,,,https://anidb.net/anime/6107,6107,https://www.youtube.com/watch?v=mLxv4oj4OcY&pp=ygUqRnVsbG1ldGFsIEFsY2hlbWlzdCBCcm90aGVyaG9vZCBMZXQgaXQgT3V0,"2,566,587",24K,mLxv4oj4OcY
13,13,insert song,Rain,/song/30159,52 61,8.69,Sid,Mao,Yuuya,"Nishihira Akira, Sid",,"action, adventure, contemporary fantasy, fantasy, human enhancement, magic, manga, military, science fiction, shounen, steampunk, violence",Hagane no Renkinjutsushi 2009,5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist Brotherhood,,9.1,2,3,finished_airing,"Action, Adventure, Drama, Fantasy, Military, Shounen",64,2009-04-05,2010-07-04,Bones,manga,,r,,,https://anidb.net/anime/6107,6107,https://www.youtube.com/watch?v=Bd9rnGXLNtM&pp=ygUkRnVsbG1ldGFsIEFsY2hlbWlzdCBCcm90aGVyaG9vZCBSYWlu,"525,939",6.2K,Bd9rnGXLNtM
14,14,insert song,Ray of Light,/song/30160,64,7.25,Nakagawa Shouko,Nakagawa Shouko,"Kimura Atsushi, Suzuki Kentarou",Shimada Masanori,,"action, adventure, contemporary fantasy, fantasy, human enhancement, magic, manga, military, science fiction, shounen, steampunk, violence",Hagane no Renkinjutsushi 2009,5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist Brotherhood,,9.1,2,3,finished_airing,"Action, Adventure, Drama, Fantasy, Military, Shounen",64,2009-04-05,2010-07-04,Bones,manga,,r,,,https://anidb.net/anime/6107,6107,https://www.youtube.com/watch?v=ETbEtbE28VA&pp=ygUsRnVsbG1ldGFsIEFsY2hlbWlzdCBCcm90aGVyaG9vZCBSYXkgb2YgTGlnaHQ%3D,"2,516,578",12K,ETbEtbE28VA
15,15,insert song,Trisha s Lullaby,/song/22518,64,,The Warsaw Philharmonic Orchestra Chorus,濱田真美,Senju Akira,Senju Akira,,"action, adventure, contemporary fantasy, fantasy, human enhancement, magic, manga, military, science fiction, shounen, steampunk, violence",Hagane no Renkinjutsushi 2009,5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist Brotherhood,,9.1,2,3,finished_airing,"Action, Adventure, Drama, Fantasy, Military, Shounen",64,2009-04-05,2010-07-04,Bones,manga,,r,,,https://anidb.net/anime/6107,6107,https://www.youtube.com/watch?v=l2kwie-gs2o&pp=ygUwRnVsbG1ldGFsIEFsY2hlbWlzdCBCcm90aGVyaG9vZCBUcmlzaGEgcyBMdWxsYWJ5,"11,197,708",104K,l2kwie-gs2o
16,16,image song,Bonne Nuit,/song/32484,,,Orikasa Fumiko,Kusunose Takuya,Sakuma Masahide,Unsuspected Monogram,,"action, adventure, contemporary fantasy, fantasy, human enhancement, magic, manga, military, science fiction, shounen, steampunk, violence",Hagane no Renkinjutsushi 2009,5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist Brotherhood,,9.1,2,3,finished_airing,"Action, Adventure, Drama, Fantasy, Military, Shounen",64,2009-04-05,2010-07-04,Bones,manga,,r,,,https://anidb.net/anime/6107,6107,https://www.youtube.com/watch?v=nEcq_NOlNyE&pp=ygUqRnVsbG1ldGFsIEFsY2hlbWlzdCBCcm90aGVyaG9vZCBCb25uZSBOdWl0,"3,454",125,nEcq_NOlNyE
17,17,image song,Determination,/song/32489,,,Paku Romi,Kusunose Takuya,Sakuma Masahide,Unsuspected Monogram,,"action, adventure, contemporary fantasy, fantasy, human enhancement, magic, manga, military, science fiction, shounen, steampunk, violence",Hagane no Renkinjutsushi 2009,5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist Brotherhood,,9.1,2,3,finished_airing,"Action, Adventure, Drama, Fantasy, Military, Shounen",64,2009-04-05,2010-07-04,Bones,manga,,r,,,https://anidb.net/anime/6107,6107,https://www.youtube.com/watch?v=NqwvzDVORSY&pp=ygUtRnVsbG1ldGFsIEFsY2hlbWlzdCBCcm90aGVyaG9vZCBEZXRlcm1pbmF0aW9u,"667,736",10K,NqwvzDVORSY
18,18,image song,Hikari no Sasu Basho,/song/32486,,,Miyano Mamoru,Tama,Sakuma Masahide,Unsuspected Monogram,,"action, adventure, contemporary fantasy, fantasy, human enhancement, magic, manga, military, science fiction, shounen, steampunk, violence",Hagane no Renkinjutsushi 2009,5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist Brotherhood,,9.1,2,3,finished_airing,"Action, Adventure, Drama, Fantasy, Military, Shounen",64,2009-04-05,2010-07-04,Bones,manga,,r,,,https://anidb.net/anime/6107,6107,https://www.youtube.com/watch?v=FmpQ9eQBo4o&pp=ygU0RnVsbG1ldGFsIEFsY2hlbWlzdCBCcm90aGVyaG9vZCBIaWthcmkgbm8gU2FzdSBCYXNobw%3D%3D,"2,777",30,FmpQ9eQBo4o
19,19,image song,Inochi Mei,/song/32485,,,Miki Shin ichirou,Kusunose Takuya,Sakuma Masahide,Unsuspected Monogram,,"action, adventure, contemporary fantasy, fantasy, human enhancement, magic, manga, military, science fiction, shounen, steampunk, violence",Hagane no Renkinjutsushi 2009,5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist Brotherhood,,9.1,2,3,finished_airing,"Action, Adventure, Drama, Fantasy, Military, Shounen",64,2009-04-05,2010-07-04,Bones,manga,,r,,,https://anidb.net/anime/6107,6107,https://www.youtube.com/watch?v=EDZVMWKrvkU&pp=ygUqRnVsbG1ldGFsIEFsY2hlbWlzdCBCcm90aGVyaG9vZCBJbm9jaGkgTWVp,456,7,EDZVMWKrvkU
